,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
415,Tual,56,ID,1551770407,100,-5.67,132.75,82.99,7.54
416,Rosa Zarate,80,EC,1551770130,97,0.33,-79.47,72.01,1.83
417,Salalah,0,OM,1551765000,51,17.01,54.1,80.6,2.24
419,Saint-Joseph,0,FR,1551770314,30,43.56,6.97,51.48,9.17
420,Pacific Grove,20,US,1551770202,81,36.62,-121.92,49.15,3.62
421,Itarema,64,BR,1551770408,98,-2.92,-39.92,74.53,3.85
422,Oum Hadjer,80,TD,1551770409,34,13.3,19.7,78.17,10.67
423,Keti Bandar,0,PK,1551770409,96,24.14,67.45,72.77,7.99
424,Wembley,0,GB,1551770287,86,51.55,-0.3,37.09,10.29
425,Banda Aceh,8,ID,1551770210,67,5.56,95.32,88.03,3.62
426,Tomohon,75,ID,1551769200,70,1.33,124.84,84.2,8.05
427,Marquette,90,US,1551770281,70,46.54,-87.4,1.44,8.05
428,Wellington,0,NZ,1551770191,52,-41.29,174.78,64.98,17.22
429,Skibbereen,40,IE,1551767400,86,51.55,-9.27,39.2,9.17
431,Quthing,24,LS,1551770411,92,-30.4,27.7,54.95,2.73
432,Wattegama,8,LK,1551770411,73,7.35,80.68,85.33,3.96
433,Ilhabela,36,BR,1551770337,100,-23.78,-45.36,81.19,8.66
434,Gusau,12,NG,1551770412,56,12.17,6.66,64.4,6.64
435,Dongsheng,92,CN,1551770412,100,29.72,112.52,51.08,12.46
437,Wagar,92,US,1551770332,93,31.44,-87.99,33.98,1.01
438,Aklavik,5,CA,1551769200,78,68.22,-135.01,17.6,9.17
439,Kysyl-Syr,80,RU,1551770413,78,63.9,122.77,14.14,6.98
440,Nevelsk,20,RU,1551767400,40,46.67,141.86,35.6,6.71
442,Ambovombe,92,MG,1551770474,95,-25.18,46.09,78.49,6.64
443,Huarmey,12,PE,1551770475,86,-10.07,-78.15,65.84,2.39
444,Calabozo,0,VE,1551770475,61,8.92,-67.43,79.39,13.91
445,Half Moon Bay,40,US,1551770471,87,37.46,-122.43,49.1,3.36
446,Serik,75,TR,1551768600,81,36.92,31.1,53.02,6.93
447,Schroeder,88,BR,1551770218,97,-26.41,-49.07,73,1.01
448,Lagoa,75,PT,1551770246,100,37.14,-8.45,57.18,4.7
449,Saint-Leu,0,RE,1551770190,58,-21.15,55.28,84.51,6.93
450,Amurzet,48,CN,1551770477,59,47.69,131.09,42.35,4.63
451,Centralia,1,US,1551770474,71,39.21,-92.14,8.89,9.17
452,Talgar,90,KZ,1551767400,100,43.3,77.24,37.4,4.47
453,Majene,20,ID,1551770478,92,-3.54,118.97,84.29,8.43
454,Jinan,0,CN,1551770481,46,36.65,117.11,62.78,7.76
456,Galiakot,0,IN,1551770482,39,23.54,74.01,79.03,7.43
457,Mareeba,92,AU,1551769414,62,-16.99,145.42,85.01,12.75
458,Portland,1,US,1551770304,39,45.52,-122.67,28.26,5.82
459,Boa Vista,0,BR,1551769200,65,2.82,-60.67,80.6,9.17
460,Gao,0,ML,1551770484,54,16.28,-0.04,54.91,6.53
461,Hofn,20,IS,1551770484,100,64.25,-15.21,32.41,15.82
462,Manzanillo,76,CU,1551770485,100,20.34,-77.12,76.19,12.24
463,Srednekolymsk,88,RU,1551770297,57,67.46,153.71,-6.16,4.18
464,Montepuez,80,MZ,1551770485,99,-13.13,39,75.83,8.43
465,Rio Gallegos,75,AR,1551765600,52,-51.62,-69.22,44.6,17.22
466,Balagansk,12,RU,1551770486,62,54.01,103.05,34.39,10.11
467,Puerto Escondido,0,MX,1551770486,100,15.86,-97.07,81.68,7.09
468,Camacha,40,PT,1551767400,82,33.08,-16.33,60.51,5.82
469,Fuerte Olimpo,48,BR,1551770486,72,-21.04,-57.87,78.58,8.88
470,Mercedes,20,UY,1551770487,97,-33.25,-58.03,66.74,2.84
471,Springdale,1,US,1551770229,72,36.19,-94.13,12.85,3.36
472,San Carlos de Bariloche,40,AR,1551765600,70,-41.13,-71.31,46.4,21.92
473,Mechelen,75,BE,1551770406,86,51.03,4.48,40.17,13.87
474,Abong Mbang,80,CM,1551770488,97,3.98,13.18,68.63,2.84
475,Zyryanskoye,20,RU,1551770488,92,56.83,86.62,32.41,19.84
476,Strzegom,40,PL,1551770447,60,50.96,16.35,43.14,12.75
477,Maldonado,40,UY,1551765600,93,-34.91,-54.96,66.2,11.34
478,Tulun,0,RU,1551770489,66,54.56,100.58,36.64,7.2
479,Gimli,48,CA,1551770405,80,50.63,-96.99,5,5.01
480,Olinda,90,EC,1551770160,88,-2.03,-79.75,77.29,4.7
481,Mahabad,20,IR,1551770446,80,36.77,45.72,28.54,2.73
482,Sisimiut,8,GL,1551770236,66,66.94,-53.67,-1.3,4.85
483,Sal Rei,40,CV,1551765600,82,16.18,-22.92,66.2,12.75
484,Ilinskiy,90,RU,1551769547,93,55.62,38.12,37.62,8.95
485,Opuwo,44,NA,1551770469,59,-18.06,13.84,60.89,1.95
486,Okha,0,RU,1551770491,91,53.59,142.95,10.94,17.05
487,Hov,75,SE,1551770490,100,56.9,14.81,33.62,11.41
488,Wewak,32,PG,1551770492,75,-3.55,143.63,85.28,5.75
489,Jiangyou,92,CN,1551770492,58,31.78,104.73,56.66,9.44
490,Sinnamary,88,GF,1551770492,95,5.38,-52.96,78.8,12.24
492,Curup,76,ID,1551770493,75,-3.47,102.53,79.61,2.06
494,Port Blair,40,IN,1551765600,52,11.67,92.75,89.6,10.29
495,Palora,8,EC,1551770554,100,-1.7,-77.97,57.47,2.06
496,Orsk,76,RU,1551765600,92,51.23,58.47,28.4,20.13
497,Lalibela,12,ET,1551770554,88,12.04,39.05,58.78,2.73
498,Calvinia,0,ZA,1551768300,49,-31.47,19.78,73.4,14.99
499,Garissa,0,KE,1551770498,67,-0.46,39.64,82.99,4.63
501,Lakheri,0,IN,1551765600,49,25.67,76.19,73.4,2.24
502,Flinders,0,AU,1551770242,58,-34.58,150.85,80.94,4.7
503,Ceres,100,AR,1551770556,97,-29.88,-61.95,69.17,9.1
505,Pokosnoye,0,RU,1551770556,62,55.53,101.05,36.68,8.1
506,Marathon,44,CA,1551770557,96,48.72,-86.38,1.67,5.97
507,Kirakira,8,SB,1551770539,100,-10.46,161.92,82.67,9.1
508,Oyama,20,JP,1551770468,46,36.31,139.8,58.71,10.29
509,Tezpur,48,IN,1551770557,88,26.62,92.79,66.43,3.29
510,Yaan,20,NG,1551770558,90,7.38,8.57,74.75,5.86
511,Verkhnevilyuysk,92,RU,1551770558,75,63.45,120.31,18.14,8.99
512,North Bend,1,US,1551770427,92,43.41,-124.22,33.93,4.41
513,Chuguyevka,92,RU,1551770558,43,44.17,133.87,46.76,3.96
514,Katipunan,0,PH,1551770559,71,8.51,123.28,85.01,17.83
516,Santa Maria,88,BR,1551770560,82,-29.69,-53.81,70.93,9.55
517,Bonfim,0,GY,1551770561,64,3.36,-59.84,78.98,13.91
520,Mae Ramat,20,TH,1551765600,27,16.98,98.52,89.6,20.8
521,San Patricio,24,PY,1551770309,60,-26.98,-56.83,75.74,5.41
522,Tchaourou,0,BJ,1551770562,89,8.89,2.6,66.29,5.19
523,Plettenberg Bay,0,ZA,1551770562,100,-34.05,23.37,64.63,5.53
524,Hobyo,92,SO,1551770562,80,5.35,48.53,79.84,15.93
525,Kindersley,90,CA,1551769200,66,51.47,-109.16,10.4,20.8
526,Fort-Shevchenko,64,KZ,1551770563,91,44.51,50.26,42.13,4.63
527,El Coyote,20,NI,1551765600,78,12.29,-85.65,78.8,11.41
528,Salinas,20,US,1551770557,81,36.67,-121.66,49.24,3.62
529,Phan Thiet,0,VN,1551770564,73,10.93,108.1,83.98,10.78
530,Rivadavia,0,AR,1551770565,52,-31.53,-68.59,64.99,5.3
532,Ibaiti,92,BR,1551770500,99,-23.85,-50.19,68,1.01
533,Makakilo City,90,US,1551770442,56,21.35,-158.09,68.79,4.7
534,Dingle,32,PH,1551770566,60,11,122.67,85.64,14.7
535,Chumikan,44,RU,1551770566,54,54.72,135.31,22.64,8.88
536,Knysna,40,ZA,1551769200,77,-34.04,23.05,68,4.7
537,Nagato,40,JP,1551769943,76,34.35,131.14,56.23,5.82
538,Cartagena,0,ES,1551770397,81,37.63,-1,52.16,3.36
540,Barranca,48,PE,1551770567,100,-10.75,-77.76,72.68,4.07
541,Biak,12,ID,1551770567,67,-0.91,122.88,89.11,3.18
542,Tezu,92,IN,1551770568,100,27.93,96.16,48.83,1.39
543,Bayir,0,TR,1551768600,86,37.27,28.22,42.33,3.36
544,Prince Rupert,1,CA,1551765600,68,54.32,-130.32,30.2,9.17
545,Evensk,44,RU,1551770277,100,61.92,159.24,13.69,3.06
546,Arlit,0,NE,1551770569,42,18.74,7.39,53.06,2.73
548,Pochutla,0,MX,1551770167,87,15.74,-96.47,73.99,4.85
549,Fiche,20,ET,1551770570,73,9.77,38.74,59.59,3.96
550,Sabang,44,PH,1551770281,84,13.72,123.58,80.69,9.44
551,Umea,0,SE,1551768306,65,63.83,20.26,8.26,10.29
552,Vestmannaeyjar,75,IS,1551769200,80,63.44,-20.27,30.2,8.05
553,Greenville,90,US,1551770493,59,34.85,-82.4,34.02,8.05
554,Mayo,5,CA,1551769200,75,63.59,-135.9,-14.81,2.24
555,Lismore,40,AU,1551770328,51,-28.81,153.28,82.08,8.05
556,Pouembout,80,NC,1551770632,78,-21.12,164.9,78.76,5.86
557,Wahiawa,90,US,1551770442,56,21.5,-158.02,68.81,4.7
558,Kavaratti,0,IN,1551770632,100,10.57,72.64,81.64,9.55
559,La Romana,20,DO,1551765600,78,18.43,-68.97,77,5.82
561,Ajdabiya,0,LY,1551770633,82,30.75,20.22,40.96,1.61
562,Bunia,0,CD,1551770634,88,1.56,30.25,69.94,3.06
563,Tabou,0,CI,1551770634,96,4.42,-7.36,82.99,8.32
564,Iskateley,44,RU,1551770634,78,67.68,53.15,1.54,13.69
565,Sorland,20,NO,1551768600,57,67.67,12.69,20.75,2.24
566,Pennagaram,20,IN,1551765600,49,12.13,77.9,93.2,5.82
567,Aloleng,0,PH,1551770635,68,16.13,119.78,87.35,5.86
568,Katangli,32,RU,1551770635,100,51.71,143.23,19.99,14.92
569,Puerto Baquerizo Moreno,0,EC,1551770636,100,-0.9,-89.6,80.69,8.66
570,Satipo,36,PE,1551770636,92,-11.26,-74.64,66.02,1.83
571,Marystown,12,CA,1551770354,100,47.17,-55.16,36,1.01
572,Sept-Iles,90,CA,1551770144,92,50.2,-66.38,16.21,2.24
573,Bagan,76,RU,1551770637,91,54.1,77.67,20.03,18.39
574,Weatherford,1,US,1551770599,53,32.76,-97.8,23.58,5.82
575,Hamilton,90,BM,1551770317,88,32.3,-64.78,70.5,23.04
576,Kerouane,0,GN,1551765600,27,12.23,-12.34,73.4,3.06
577,Hinton,0,CA,1551770638,49,53.4,-117.57,-6.07,1.95
578,Carutapera,92,BR,1551770638,100,-1.2,-46.02,75.02,3.74
579,Aginskoye,0,RU,1551770639,41,51.11,114.54,31.01,5.19
580,Taoudenni,0,ML,1551770639,30,22.68,-3.98,45.95,4.07
582,Ankazobe,40,MG,1551769200,69,-18.32,47.12,75.2,5.82
583,Shenjiamen,92,CN,1551770570,94,29.96,122.3,52.48,11.34
584,Zilair,80,RU,1551770640,84,52.23,57.44,24.76,3.62
585,La Ronge,90,CA,1551769200,56,55.1,-105.3,12.2,8.05
586,Lumphat,0,KH,1551770640,45,13.5,106.97,91.54,2.95
587,Inirida,44,CO,1551770641,85,3.87,-67.92,76.33,2.39
588,Garowe,92,SO,1551770419,74,8.41,48.48,75.34,8.99
589,Domna,0,RU,1551767400,40,51.9,113.16,32,2.24
590,Qaqortoq,12,GL,1551768600,41,60.72,-46.03,23,6.93
592,Panzhihua,0,CN,1551770479,52,26.59,101.72,62.01,6.42
593,Tazovskiy,68,RU,1551770642,88,67.47,78.7,12.65,19.39
594,Canby,1,US,1551770349,46,45.26,-122.69,28.65,11.41
595,Srandakan,0,ID,1551770561,100,-7.94,110.25,79.07,3.62
596,Kano,0,NG,1551770643,33,11.99,8.53,63.68,5.64
598,Cedar City,1,US,1551765180,86,37.68,-113.06,33.8,2.39
599,Crestview,90,US,1551770491,93,30.76,-86.57,38.35,10.29
600,Praya,75,ID,1551769200,94,-8.71,116.27,80.6,10.29
602,Bikin,44,RU,1551770645,34,46.82,134.25,45.73,3.18
603,Fukue,75,JP,1551770618,50,35.03,136.69,58.15,8.05
604,Kailua,75,US,1551770442,60,21.39,-157.74,68.79,10.29
605,Niigata,20,JP,1551770618,57,37.91,139.04,51.31,6.93
607,Niagara Falls,40,CA,1551770645,65,43.1,-79.12,10.04,14.99
608,Lianran,0,CN,1551770682,25,24.92,102.47,66.6,13.47
609,Tarakan,40,ID,1551765600,55,3.3,117.63,91.4,5.82
611,Sarakhs,20,TM,1551765600,81,36.54,61.16,48.2,6.93
612,Poum,0,MK,1551769200,79,41.28,20.71,39.2,1.83
613,Opera,0,IT,1551770706,100,45.37,9.21,37.47,1.12
614,Port Hardy,5,CA,1551769200,92,50.7,-127.42,23,3.36
